delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification,Theta_LowAlpha_Ratio,Theta_HighAlpha_Ratio,Delta_Theta_Ratio,Total_Alpha,Total_Beta,Total_Gamma,High_Low_Alpha_Diff,High_Low_Beta_Diff,High_Low_Gamma_Diff
986238,209480,160459,33571,160459,14056,2600,533270,1,1.31,6.24,4.71,194030,174515,535870,-126888,-146403,530670
750426,336120,156892,236793,156892,27773,53988,53045,0,2.14,1.42,2.23,393685,184665,107033,79901,-129119,-943
2251281,393513,154654,197152,154654,162837,27223,20296,0,2.54,2.00,5.72,351806,317491,47519,42498,8183,-6927
1768826,499496,154434,197533,154434,46010,104215,501819,1,3.23,2.53,3.54,351967,200444,606034,43099,-108424,397604
1603807,223790,152086,64045,152086,55006,18043,15411,0,1.47,3.49,7.17,216131,207092,33454,-88041,-97080,-2632
275922,114879,151882,21450,151882,4867,4810,1981,1,0.76,5.36,2.40,173332,156749,6791,-130432,-147015,-2829
2071448,272324,151650,23774,151650,24852,15912,670782,0,1.80,11.45,7.61,175424,176502,686694,-127876,-126798,654870
1065554,858932,194671,260673,148858,198280,60555,2210047,0,4.41,3.30,1.24,455344,347138,2270602,66002,49422,2149492
919099,216492,148475,125142,148475,23000,16651,7412,0,1.46,1.73,4.25,273617,171475,24063,-23333,-125475,-9239
2331434,150508,142405,170045,142405,7869,10336,432848,0,1.06,0.89,15.49,312450,150274,443184,27640,-134536,422512
8328,30995,142030,41790,142030,46633,15301,66571,1,0.22,0.74,0.27,183820,188663,81872,-100240,-95397,51270
1298855,318175,141832,44657,141832,18173,13549,12424,1,2.24,7.12,4.08,186489,160005,25973,-97175,-123659,-1125
32542,39705,141587,5301,141587,25715,4937,137261,1,0.28,7.49,0.82,146888,167302,142198,-136286,-115872,132324
2405087,1056811,140922,110437,140922,349258,240393,90775,1,7.50,9.57,2.28,251359,490180,331168,-30485,208336,-149618
265585,341698,140136,99424,140136,28791,13630,540545,0,2.44,3.44,0.78,239560,168927,554175,-40712,-111345,526915
1513644,886606,138907,24998,138907,63216,19938,1339327,0,6.38,35.47,1.71,163905,202123,1359265,-113909,-75691,1319389
1721768,149647,138081,80655,138081,6993,3201,1418,1,1.08,1.86,11.51,218736,145074,4619,-57426,-131088,-1783
2051784,695351,137463,129175,137463,74673,114704,961435,0,5.06,5.38,2.95,266638,212136,1076139,-8288,-62790,846731
2597084,477665,239825,109140,137260,73771,64440,676390,0,1.99,4.38,5.44,348965,211031,740830,-130685,-63489,611950
1437116,285327,137086,80711,137086,39947,14339,565473,1,2.08,3.54,5.04,217797,177033,579812,-56375,-97139,551134
1199453,1983393,136950,310101,136950,50626,8216,759924,0,14.48,6.40,0.60,447051,187576,768140,173151,-86324,751708
22861,31291,135942,21484,135942,10647,1174,75858,1,0.23,1.46,0.73,157426,146589,77032,-114458,-125295,74684
32854,5844,135382,16369,135382,10857,5877,146056,1,0.04,0.36,5.62,151751,146239,151933,-119013,-124525,140179
821877,106463,135247,44636,135247,75113,38020,18899,0,0.79,2.39,7.72,179883,210360,56919,-90611,-60134,-19121
479599,115645,134798,73078,134798,29927,14735,7526,0,0.86,1.58,4.15,207876,164725,22261,-61720,-104871,-7209
498710,209962,134153,32913,134153,14981,7542,5560,0,1.57,6.38,2.38,167066,149134,13102,-101240,-119172,-1982
6710,23332,134114,6437,134114,34261,13563,24258,1,0.17,3.62,0.29,140551,168375,37821,-127677,-99853,10695
1961549,957322,132740,109910,132740,91024,23202,28460,0,7.21,8.71,2.05,242650,223764,51662,-22830,-41716,5258
1052062,198694,131589,78220,131589,39082,19731,91765,0,1.51,2.54,5.29,209809,170671,111496,-53369,-92507,72034
6301,12498,129891,27114,129891,25018,4733,173611,1,0.10,0.46,0.50,157005,154909,178344,-102777,-104873,168878
1443645,468046,388857,181766,129828,55328,37701,448062,0,1.20,2.57,3.08,570623,185156,485763,-207091,-74500,410361
1870023,272635,129355,289128,129355,83089,17473,50153,0,2.11,0.94,6.86,418483,212444,67626,159773,-46266,32680
984051,443763,128600,18106,128600,20235,3069,875768,1,3.45,24.51,2.22,146706,148835,878837,-110494,-108365,872699
2760250,747408,269233,146651,128144,66064,14418,764372,0,2.78,5.10,3.69,415884,194208,778790,-122582,-62080,749954
996110,146825,128074,122737,128074,41854,48426,92319,0,1.15,1.20,6.78,250811,169928,140745,-5337,-86220,43893
1216024,86481,127570,133031,127570,15916,18857,996583,0,0.68,0.65,14.06,260601,143486,1015440,5461,-111654,977726
762501,352856,127373,73367,127373,25790,16002,673406,1,2.77,4.81,2.16,200740,153163,689408,-54006,-101583,657404
14431,86116,126783,1791,126783,10044,5782,40920,1,0.68,48.08,0.17,128574,136827,46702,-124992,-116739,35138
530343,525625,126777,12764,126777,148083,5681,859989,0,4.15,41.18,1.01,139541,274860,865670,-114013,21306,854308
2338780,242711,126160,164181,126160,44040,33944,18789,0,1.92,1.48,9.64,290341,170200,52733,38021,-82120,-15155
160666,274594,126113,44181,126113,14084,14406,8707,1,2.18,6.22,0.59,170294,140197,23113,-81932,-112029,-5699
740473,265769,125354,36158,125354,12172,22752,880546,1,2.12,7.35,2.79,161512,137526,903298,-89196,-113182,857794
1708501,107221,125052,128520,125052,11176,1981,1185,0,0.86,0.83,15.93,253572,136228,3166,3468,-113876,-796
1758783,246617,124790,68141,124790,17259,28468,511096,1,1.98,3.62,7.13,192931,142049,539564,-56649,-107531,482628
1423102,384358,124757,275239,124757,80869,45765,179951,0,3.08,1.40,3.70,399996,205626,225716,150482,-43888,134186
1243904,714345,124262,29976,124262,35984,7402,4437,0,5.75,23.83,1.74,154238,160246,11839,-94286,-88278,-2965
1964616,715179,33317,305228,124055,60902,100411,489637,0,21.47,2.34,2.75,338545,184957,590048,271911,-63153,389226
1849828,745244,123824,74628,123824,128758,71733,10747,0,6.02,9.99,2.48,198452,252582,82480,-49196,4934,-60986
2288457,87867,123456,115142,123456,36017,16794,400152,0,0.71,0.76,26.04,238598,159473,416946,-8314,-87439,383358
181104,28587,123334,4339,123334,14503,1223,38781,1,0.23,6.59,6.34,127673,137837,40004,-118995,-108831,37558
3502876,764040,122900,105099,122900,67227,9507,503198,0,6.22,7.27,4.58,227999,190127,512705,-17801,-55673,493691
1041974,298492,122698,33322,122698,23175,9103,12921,0,2.43,8.96,3.49,156020,145873,22024,-89376,-99523,3818
1989968,575031,122280,141617,122280,33109,22850,16327,0,4.70,4.06,3.46,263897,155389,39177,19337,-89171,-6523
2367279,1081985,341241,161824,121445,75179,65706,541060,0,3.17,6.69,2.19,503065,196624,606766,-179417,-46266,475354
2041411,411535,121404,27667,121404,201679,23087,38280,0,3.39,14.87,4.96,149071,323083,61367,-93737,80275,15193
769945,618155,121039,26795,121039,91823,3444,817061,1,5.11,23.07,1.25,147834,212862,820505,-94244,-29216,813617
651300,452014,119405,56721,119405,27910,25939,560618,1,3.79,7.97,1.44,176126,147315,586557,-62684,-91495,534679
221344,231983,118531,128974,118531,10984,8986,2765,0,1.96,1.80,0.95,247505,129515,11751,10443,-107547,-6221
1595899,133789,118344,90714,118344,32688,11623,14700,0,1.13,1.47,11.93,209058,151032,26323,-27630,-85656,3077
815449,479026,53939,46904,117993,132079,137226,60783,0,8.88,10.21,1.70,100843,250072,198009,-7035,14086,-76443
1083975,195585,116747,64470,116747,53847,4772,762514,0,1.68,3.03,5.54,181217,170594,767286,-52277,-62900,757742
