delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification,Theta_LowAlpha_Ratio,Theta_HighAlpha_Ratio,Delta_Theta_Ratio,Total_Alpha,Total_Beta,Total_Gamma,High_Low_Alpha_Diff,High_Low_Beta_Diff,High_Low_Gamma_Diff
753198,213444,11472,18915,29801,18811,12454,186393,0,18.61,11.28,3.53,30387,48612,198847,7443,-10990,173939
1410485,78757,87364,17489,29763,13179,3689,507959,0,0.90,4.50,17.91,104853,42942,511648,-69875,-16584,504270
820331,98057,72660,145418,29752,40907,16848,716945,0,1.35,0.67,8.37,218078,70659,733793,72758,11155,700097
28235,35687,29741,29058,29741,10951,1237,19008,1,1.20,1.23,0.79,58799,40692,20245,-683,-18790,17771
9295,23976,29719,3769,29719,40916,11365,94094,1,0.81,6.36,0.39,33488,70635,105459,-25950,11197,82729
421011,91746,29696,9903,29696,6355,3050,4185,0,3.09,9.26,4.59,39599,36051,7235,-19793,-23341,1135
704855,390146,17644,17818,29688,134774,10168,376519,0,22.11,21.90,1.81,35462,164462,386687,174,105086,366351
1749125,627384,29677,14192,29677,18939,2361,494954,1,21.14,44.21,2.79,43869,48616,497315,-15485,-10738,492593
131138,171729,29669,13342,29669,13961,4345,663433,1,5.79,12.87,0.76,43011,43630,667778,-16327,-15708,659088
413991,29018,29661,3742,29661,20599,15253,94567,0,0.98,7.75,14.27,33403,50260,109820,-25919,-9062,79314
12618,7702,29611,6936,29611,4754,4545,47325,1,0.26,1.11,1.64,36547,34365,51870,-22675,-24857,42780
642291,15907,29609,5266,29609,11643,1459,61079,0,0.54,3.02,40.38,34875,41252,62538,-24343,-17966,59620
2083174,104495,60563,114665,29523,8184,7589,483180,0,1.73,0.91,19.94,175228,37707,490769,54102,-21339,475591
344485,90217,29502,4979,29502,6743,12697,695840,1,3.06,18.12,3.82,34481,36245,708537,-24523,-22759,683143
39028,16802,29439,5844,29439,10984,10008,178758,0,0.57,2.88,2.32,35283,40423,188766,-23595,-18455,168750
245767,103537,29433,43219,29433,22709,8167,268833,0,3.52,2.40,2.37,72652,52142,277000,13786,-6724,260666
81104,40632,29432,3880,29432,4756,4256,2017,0,1.38,10.47,2.00,33312,34188,6273,-25552,-24676,-2239
5828,37952,29421,22909,29421,11457,2404,172631,1,1.29,1.66,0.15,52330,40878,175035,-6512,-17964,170227
901307,91598,29420,6888,29420,4687,5770,66699,0,3.11,13.30,9.84,36308,34107,72469,-22532,-24733,60929
452936,81501,76975,13302,29407,3541,3628,56793,0,1.06,6.13,5.56,90277,32948,60421,-63673,-25866,53165
152384,17864,29365,22506,29365,22475,38564,21315,1,0.61,0.79,8.53,51871,51840,59879,-6859,-6890,-17249
488097,60046,29355,26579,29355,9441,5504,3765,0,2.05,2.26,8.13,55934,38796,9269,-2776,-19914,-1739
1056705,393643,86723,33741,29346,57248,4224,768642,0,4.54,11.67,2.68,120464,86594,772866,-52982,27902,764418
824929,104274,29338,6073,29338,7990,6542,2858,0,3.55,17.17,7.91,35411,37328,9400,-23265,-21348,-3684
910528,106675,29257,25506,29257,11144,10966,293419,0,3.65,4.18,8.54,54763,40401,304385,-3751,-18113,282453
1310405,496613,29241,27665,29241,44118,36922,16975,0,16.98,17.95,2.64,56906,73359,53897,-1576,14877,-19947
215265,34391,29238,12068,29238,15998,13591,68663,0,1.18,2.85,6.26,41306,45236,82254,-17170,-13240,55072
5246,34663,29135,24499,29135,31366,3553,29439,1,1.19,1.41,0.15,53634,60501,32992,-4636,2231,25886
529938,714762,29127,22912,29127,23584,11218,124087,1,24.54,31.20,0.74,52039,52711,135305,-6215,-5543,112869
2051971,235473,29092,97046,29092,14701,3347,3406,0,8.09,2.43,8.71,126138,43793,6753,67954,-14391,59
532025,24976,29087,8353,29087,10154,6200,638745,1,0.86,2.99,21.30,37440,39241,644945,-20734,-18933,632545
446948,57629,29038,14054,29038,6646,3068,181963,1,1.98,4.10,7.76,43092,35684,185031,-14984,-22392,178895
17757,36913,28925,10155,28925,6305,2834,51428,1,1.28,3.63,0.48,39080,35230,54262,-18770,-22620,48594
695868,142577,28901,18032,28901,18099,4950,570117,0,4.93,7.91,4.88,46933,47000,575067,-10869,-10802,565167
234389,41766,28885,30747,28885,5712,3497,1912,1,1.45,1.36,5.61,59632,34597,5409,1862,-23173,-1585
18255,34685,28860,11809,28860,4579,4100,2314,1,1.20,2.94,0.53,40669,33439,6414,-17051,-24281,-1786
630158,232134,28855,26796,28855,94089,1924,893585,0,8.04,8.66,2.71,55651,122944,895509,-2059,65234,891661
10701,76147,28833,29284,28833,11725,6533,740770,1,2.64,2.60,0.14,58117,40558,747303,451,-17108,734237
1007050,83597,28818,34670,28818,11327,4457,10742,0,2.90,2.41,12.05,63488,40145,15199,5852,-17491,6285
8058,5874,28808,27386,28808,24593,8024,161734,1,0.20,0.21,1.37,56194,53401,169758,-1422,-4215,153710
1068899,486730,92539,92234,28761,160898,11470,1015045,0,5.26,5.28,2.20,184773,189659,1026515,-305,132137,1003575
207380,198596,28722,4774,28722,4421,2760,2232,0,6.91,41.60,1.04,33496,33143,4992,-23948,-24301,-528
456190,50730,34949,6311,28678,20150,3094,448589,0,1.45,8.04,8.99,41260,48828,451683,-28638,-8528,445495
30302,28803,28678,4658,28678,2122,4716,41868,1,1.00,6.18,1.05,33336,30800,46584,-24020,-26556,37152
2493517,194211,66840,68020,28677,24442,4107,383008,0,2.91,2.86,12.84,134860,53119,387115,1180,-4235,378901
300042,253020,28646,13668,28646,13187,6498,734814,1,8.83,18.51,1.19,42314,41833,741312,-14978,-15459,728316
67063,53009,28593,43035,28593,4975,6515,1268,0,1.85,1.23,1.27,71628,33568,7783,14442,-23618,-5247
87800,65958,21841,16898,28591,6780,3656,454833,0,3.02,3.90,1.33,38739,35371,458489,-4943,-21811,451177
5596,54420,28563,2281,28563,6926,4542,34153,1,1.91,23.86,0.10,30844,35489,38695,-26282,-21637,29611
1640922,92852,12731,52955,28523,16772,11290,74233,0,7.29,1.75,17.67,65686,45295,85523,40224,-11751,62943
274259,104009,28513,37515,28513,26183,10039,2756,0,3.65,2.77,2.64,66028,54696,12795,9002,-2330,-7283
51807,52385,28507,12373,28507,10741,9552,121374,0,1.84,4.23,0.99,40880,39248,130926,-16134,-17766,111822
48238,26664,28455,20410,28455,12111,7379,109493,0,0.94,1.31,1.81,48865,40566,116872,-8045,-16344,102114
353610,23463,28437,13465,28437,6357,1249,148874,1,0.83,1.74,15.07,41902,34794,150123,-14972,-22080,147625
1705023,164263,28426,17975,28426,12584,6104,2433,0,5.78,9.14,10.38,46401,41010,8537,-10451,-15842,-3671
524022,80884,28409,6381,28409,15180,3734,168305,0,2.85,12.68,6.48,34790,43589,172039,-22028,-13229,164571
1740559,232950,52234,10705,28361,41448,2521,902303,0,4.46,21.76,7.47,62939,69809,904824,-41529,13087,899782
451552,196647,97682,13480,28354,7366,5608,456598,0,2.01,14.59,2.30,111162,35720,462206,-84202,-20988,450990
172529,75551,28343,10055,28343,12784,5653,6225,1,2.67,7.51,2.28,38398,41127,11878,-18288,-15559,572
1601411,648185,152786,31949,28339,9686,26122,837646,0,4.24,20.29,2.47,184735,38025,863768,-120837,-18653,811524
661270,144750,28320,7774,28320,9599,6606,584733,1,5.11,18.62,4.57,36094,37919,591339,-20546,-18721,578127
315182,72768,28264,2408,28264,6537,2743,1863,0,2.57,30.22,4.33,30672,34801,4606,-25856,-21727,-880
9613,13258,28234,14587,28234,21436,6665,77729,1,0.47,0.91,0.73,42821,49670,84394,-13647,-6798,71064
7172,7250,28193,10310,28193,25601,3135,18532,1,0.26,0.70,0.99,38503,53794,21667,-17883,-2592,15397
531106,21995,28192,14860,28192,16745,6256,24055,1,0.78,1.48,24.15,43052,44937,30311,-13332,-11447,17799
42545,19843,28168,29408,28168,4312,4867,1709,0,0.70,0.67,2.14,57576,32480,6576,1240,-23856,-3158
1823690,102583,28142,6592,28142,6732,1568,203536,1,3.65,15.56,17.78,34734,34874,205104,-21550,-21410,201968
68809,95073,28095,13513,28095,10259,4981,2169,0,3.38,7.04,0.72,41608,38354,7150,-14582,-17836,-2812
1585945,71319,28047,6494,28047,2930,1375,1216,1,2.54,10.98,22.24,34541,30977,2591,-21553,-25117,-159
64103,25146,28038,6274,28038,10256,6775,5568,1,0.90,4.01,2.55,34312,38294,12343,-21764,-17782,-1207
1138534,170822,27890,16873,27890,9667,4843,3981,0,6.12,10.12,6.67,44763,37557,8824,-11017,-18223,-862
608121,227839,27881,58035,27881,13976,15289,152718,0,8.17,3.93,2.67,85916,41857,168007,30154,-13905,137429
540998,151075,27878,9522,27878,9894,21467,567528,1,5.42,15.87,3.58,37400,37772,588995,-18356,-17984,546061
1095195,345559,90534,23232,27855,247245,7541,1080373,0,3.82,14.87,3.17,113766,275100,1087914,-67302,219390,1072832
2870588,273955,27851,38767,27851,6365,3344,213695,1,9.84,7.07,10.48,66618,34216,217039,10916,-21486,210351
901500,441687,27838,255182,27838,73740,1810,653274,0,15.87,1.73,2.04,283020,101578,655084,227344,45902,651464
453138,17889,27762,31955,27762,11128,13287,184136,1,0.64,0.56,25.33,59717,38890,197423,4193,-16634,170849
2681895,89850,27741,59219,27741,16126,3598,694223,1,3.24,1.52,29.85,86960,43867,697821,31478,-11615,690625
115554,31657,34259,18940,27730,12228,1633,47998,0,0.92,1.67,3.65,53199,39958,49631,-15319,-15502,46365
218176,115728,5116,11858,27711,16195,7609,416847,0,22.62,9.76,1.89,16974,43906,424456,6742,-11516,409238
5384,11114,27674,13889,27674,21956,10443,37338,1,0.40,0.80,0.48,41563,49630,47781,-13785,-5718,26895
327622,130835,15914,24597,27662,6472,5524,108229,0,8.22,5.32,2.50,40511,34134,113753,8683,-21190,102705
430800,75126,27650,14381,27650,5431,6525,3026,1,2.72,5.22,5.73,42031,33081,9551,-13269,-22219,-3499
8229,27244,27621,10094,27621,2931,6003,166342,1,0.99,2.70,0.30,37715,30552,172345,-17527,-24690,160339
793860,37882,27608,36922,27608,10086,11563,7141,1,1.37,1.03,20.96,64530,37694,18704,9314,-17522,-4422
225581,234723,27605,40097,27605,37814,22749,538176,1,8.50,5.85,0.96,67702,65419,560925,12492,10209,515427
34777,32302,27489,16941,27489,6006,3139,5941,0,1.18,1.91,1.08,44430,33495,9080,-10548,-21483,2802
1256087,115433,27464,6505,27464,21451,6768,560412,1,4.20,17.75,10.88,33969,48915,567180,-20959,-6013,553644
151585,196553,27460,35399,27460,10088,3958,677329,1,7.16,5.55,0.77,62859,37548,681287,7939,-17372,673371
342054,85522,27427,33273,27427,34684,44422,35746,1,3.12,2.57,4.00,60700,62111,80168,5846,7257,-8676
197014,23481,27387,8854,27387,2032,3022,365,0,0.86,2.65,8.39,36241,29419,3387,-18533,-25355,-2657
1677633,70839,27631,33373,27366,21083,25918,67790,0,2.56,2.12,23.68,61004,48449,93708,5742,-6283,41872
25200,24985,27346,12037,27346,13825,7563,4101,0,0.91,2.08,1.01,39383,41171,11664,-15309,-13521,-3462
683390,52432,27284,28606,27284,7076,2916,2645,1,1.92,1.83,13.03,55890,34360,5561,1322,-20208,-271
363485,278361,27263,38334,27263,33786,22220,29631,0,10.21,7.26,1.31,65597,61049,51851,11071,6523,7411
503957,64200,27248,15920,27248,10128,5114,1862,0,2.36,4.03,7.85,43168,37376,6976,-11328,-17120,-3252
22473,7899,27204,24642,27204,7238,3676,115158,0,0.29,0.32,2.85,51846,34442,118834,-2562,-19966,111482
2009522,83459,70119,26336,27197,20146,19541,204582,0,1.19,3.17,24.08,96455,47343,224123,-43783,-7051,185041
65033,7562,27156,17305,27156,4717,4000,1605,0,0.28,0.44,8.60,44461,31873,5605,-9851,-22439,-2395
1760337,44608,105310,18777,27143,13097,3618,393351,0,0.42,2.38,39.46,124087,40240,396969,-86533,-14046,389733
2189774,251189,27131,32135,27131,38246,45684,26086,0,9.26,7.82,8.72,59266,65377,71770,5004,11115,-19598
907751,79606,7234,45006,27116,3771,5026,170744,0,11.00,1.77,11.40,52240,30887,175770,37772,-23345,165718
32924,34622,27091,76585,27091,4712,3888,2357,0,1.28,0.45,0.95,103676,31803,6245,49494,-22379,-1531
342186,235383,27013,65398,27013,31296,13978,6852,0,8.71,3.60,1.45,92411,58309,20830,38385,4283,-7126
1256276,13870,27004,18514,27004,9106,2150,133796,1,0.51,0.75,90.58,45518,36110,135946,-8490,-17898,131646
360464,791466,26989,116210,26989,154079,5094,1114246,1,29.33,6.81,0.46,143199,181068,1119340,89221,127090,1109152
560215,142509,43523,20276,26983,98416,5408,428587,0,3.27,7.03,3.93,63799,125399,433995,-23247,71433,423179
158728,40672,26949,10897,26949,1335,865,221545,1,1.51,3.73,3.90,37846,28284,222410,-16052,-25614,220680
803172,41945,26918,5129,26918,3880,968,1788,0,1.56,8.18,19.15,32047,30798,2756,-21789,-23038,820
283071,262496,26840,5859,26840,16302,1470,278489,0,9.78,44.80,1.08,32699,43142,279959,-20981,-10538,277019
1054971,139940,26837,30802,26837,12378,7129,4238,0,5.21,4.54,7.54,57639,39215,11367,3965,-14459,-2891
1743810,70506,26826,13892,26826,13862,3887,7213,0,2.63,5.08,24.73,40718,40688,11100,-12934,-12964,3326
408848,367182,26793,66022,26793,29356,7095,59468,0,13.70,5.56,1.11,92815,56149,66563,39229,2563,52373
170013,55666,26742,23722,26742,4728,2905,69310,1,2.08,2.35,3.05,50464,31470,72215,-3020,-22014,66405
285469,136373,26720,12239,26720,23230,4575,551911,1,5.10,11.14,2.09,38959,49950,556486,-14481,-3490,547336
1350845,183994,26690,30457,26690,13918,6222,580984,1,6.89,6.04,7.34,57147,40608,587206,3767,-12772,574762
19420,23492,26644,11491,26644,9120,2106,145806,1,0.88,2.04,0.83,38135,35764,147912,-15153,-17524,143700
532143,63724,26606,17202,26606,26652,13903,101577,0,2.40,3.70,8.35,43808,53258,115480,-9404,46,87674
653863,431430,26601,60339,26601,25706,1562,121440,0,16.22,7.15,1.52,86940,52307,123002,33738,-895,119878
1508936,117080,13788,39342,26597,8875,3848,315433,0,8.49,2.98,12.89,53130,35472,319281,25554,-17722,311585
960462,277180,26575,27356,26575,13056,9126,2683,0,10.43,10.13,3.47,53931,39631,11809,781,-13519,-6443
925955,347786,58114,75219,26574,44794,34496,475054,0,5.98,4.62,2.66,133333,71368,509550,17105,18220,440558
1442127,75441,26567,20900,26567,7529,822,240765,1,2.84,3.61,19.12,47467,34096,241587,-5667,-19038,239943
332458,83165,26519,4420,26519,9563,945,122424,1,3.14,18.82,4.00,30939,36082,123369,-22099,-16956,121479
898800,123621,26508,39354,26508,9252,4439,2945,0,4.66,3.14,7.27,65862,35760,7384,12846,-17256,-1494
831600,88411,26492,35317,26492,27642,1525,674130,1,3.34,2.50,9.41,61809,54134,675655,8825,1150,672605
46350,13872,26492,20859,26492,7331,6554,84835,0,0.52,0.67,3.34,47351,33823,91389,-5633,-19161,78281
640199,51968,28811,37625,26449,33431,18168,12109,0,1.80,1.38,12.32,66436,59880,30277,8814,6982,-6059
1848654,180944,13106,21775,26356,25349,1966,437908,0,13.81,8.31,10.22,34881,51705,439874,8669,-1007,435942
708696,94862,26346,11113,26346,26301,21620,593537,1,3.60,8.54,7.47,37459,52647,615157,-15233,-45,571917
604971,153084,26257,25372,26257,13662,3320,208747,1,5.83,6.03,3.95,51629,39919,212067,-885,-12595,205427
383169,122539,50757,60384,26247,8365,2486,335478,0,2.41,2.03,3.13,111141,34612,337964,9627,-17882,332992
772662,784070,26240,37249,26240,8351,20084,718323,1,29.88,21.05,0.99,63489,34591,738407,11009,-17889,698239
53051,72298,26184,25408,26184,28619,9711,6446,0,2.76,2.85,0.73,51592,54803,16157,-776,2435,-3265
1187129,136800,10951,46863,26182,8316,5672,300197,0,12.49,2.92,8.68,57814,34498,305869,35912,-17866,294525
198110,62022,17017,15044,26177,9432,9916,30449,0,3.64,4.12,3.19,32061,35609,40365,-1973,-16745,20533
134498,63941,26139,13514,26139,36194,32721,11501,0,2.45,4.73,2.10,39653,62333,44222,-12625,10055,-21220
1089937,16065,26130,24100,26130,24635,2474,536167,1,0.61,0.67,67.85,50230,50765,538641,-2030,-1495,533693
14708,17632,26102,89692,26102,2939,1650,1383,1,0.68,0.20,0.83,115794,29041,3033,63590,-23163,-267
2544,34209,26076,6412,26076,12424,2097,76523,1,1.31,5.34,0.07,32488,38500,78620,-19664,-13652,74426
477572,117159,26071,51081,26071,21437,9388,4614,0,4.49,2.29,4.08,77152,47508,14002,25010,-4634,-4774
24223,13617,26038,9401,26038,3243,3642,24873,1,0.52,1.45,1.78,35439,29281,28515,-16637,-22795,21231
1342164,209439,124014,16718,26024,10278,5580,512327,0,1.69,12.53,6.41,140732,36302,517907,-107296,-15746,506747
72976,13158,26020,16260,26020,93067,20359,27613,1,0.51,0.81,5.55,42280,119087,47972,-9760,67047,7254
6147,13037,26007,10380,26007,8681,6744,26901,1,0.50,1.26,0.47,36387,34688,33645,-15627,-17326,20157
186467,151422,26005,18464,26005,13947,16561,8180,1,5.82,8.20,1.23,44469,39952,24741,-7541,-12058,-8381
11687,86180,26004,13409,26004,19597,6328,57198,1,3.31,6.43,0.14,39413,45601,63526,-12595,-6407,50870
19196,34616,25994,20716,25994,19844,7151,8389,0,1.33,1.67,0.55,46710,45838,15540,-5278,-6150,1238
1428861,66401,25972,43443,25972,7420,2045,1111,0,2.56,1.53,21.52,69415,33392,3156,17471,-18552,-934
1099950,113559,25924,22627,25924,13006,18976,13294,0,4.38,5.02,9.69,48551,38930,32270,-3297,-12918,-5682
544411,37112,110707,32277,25906,61529,6633,715425,0,0.34,1.15,14.67,142984,87435,722058,-78430,35623,708792
439346,168187,25860,8172,25860,12840,9620,94145,0,6.50,20.58,2.61,34032,38700,103765,-17688,-13020,84525
604612,151485,25850,15036,25850,59756,11516,25764,1,5.86,10.07,3.99,40886,85606,37280,-10814,33906,14248
281785,137345,25826,8164,25826,19889,9144,12023,0,5.32,16.82,2.05,33990,45715,21167,-17662,-5937,2879
640274,149000,25804,9325,25804,6041,1973,202140,1,5.77,15.98,4.30,35129,31845,204113,-16479,-19763,200167
1603171,35927,7140,30578,25704,7261,9561,197426,0,5.03,1.17,44.62,37718,32965,206987,23438,-18443,187865
52148,73584,25684,37165,25684,10190,7670,2135,1,2.86,1.98,0.71,62849,35874,9805,11481,-15494,-5535
1405919,49588,25589,22315,25589,6367,10386,10315,1,1.94,2.22,28.35,47904,31956,20701,-3274,-19222,-71
432072,79718,25523,4367,25523,23883,9786,37429,1,3.12,18.25,5.42,29890,49406,47215,-21156,-1640,27643
96569,60040,25513,11878,25513,5433,4982,22376,0,2.35,5.05,1.61,37391,30946,27358,-13635,-20080,17394
131060,24428,25493,7244,25493,985,460,60646,1,0.96,3.37,5.37,32737,26478,61106,-18249,-24508,60186
276776,257981,25445,16470,25445,7114,1969,693856,1,10.14,15.66,1.07,41915,32559,695825,-8975,-18331,691887
361319,93847,25413,14448,25413,8307,4330,573905,1,3.69,6.50,3.85,39861,33720,578235,-10965,-17106,569575
1840282,236606,25411,21524,25411,12679,5552,280496,0,9.31,10.99,7.78,46935,38090,286048,-3887,-12732,274944
582067,67229,25363,37584,25363,4563,3774,2833,0,2.65,1.79,8.66,62947,29926,6607,12221,-20800,-941
917037,330728,72795,12165,25351,9622,3873,362277,0,4.54,27.19,2.77,84960,34973,366150,-60630,-15729,358404
233165,57414,25341,3795,25341,3244,2678,159017,1,2.27,15.13,4.06,29136,28585,161695,-21546,-22097,156339
998949,155490,25303,69783,25303,19905,18692,13014,0,6.15,2.23,6.42,95086,45208,31706,44480,-5398,-5678
14823,16640,25243,5746,25243,6052,5594,44765,1,0.66,2.90,0.89,30989,31295,50359,-19497,-19191,39171
15561,27823,25241,10650,25241,3318,3508,61097,1,1.10,2.61,0.56,35891,28559,64605,-14591,-21923,57589
273204,49389,25233,5577,25233,6878,14648,5131,0,1.96,8.86,5.53,30810,32111,19779,-19656,-18355,-9517
50232,57870,25213,9734,25213,9746,8008,686513,1,2.30,5.95,0.87,34947,34959,694521,-15479,-15467,678505
838972,139583,64738,7692,25177,39234,2624,401681,0,2.16,18.15,6.01,72430,64411,404305,-57046,14057,399057
247659,92779,25149,18666,25149,26961,9482,6205,0,3.69,4.97,2.67,43815,52110,15687,-6483,1812,-3277
661275,274263,298452,21562,25116,31734,4265,650270,0,0.92,12.72,2.41,320014,56850,654535,-276890,6618,646005
1610663,334936,25107,91888,25107,34924,69346,19376,0,13.34,3.65,4.81,116995,60031,88722,66781,9817,-49970
1372105,143549,25106,41634,25106,18389,6880,174611,0,5.72,3.45,9.56,66740,43495,181491,16528,-6717,167731
1344193,116852,25084,38185,25084,8541,3184,97237,0,4.66,3.06,11.50,63269,33625,100421,13101,-16543,94053
192623,125897,6489,17757,25017,3602,5056,210876,0,19.40,7.09,1.53,24246,28619,215932,11268,-21415,205820
457425,368076,205798,18362,24994,32726,5404,563392,0,1.79,20.05,1.24,224160,57720,568796,-187436,7732,557988
617911,112269,24980,74005,24980,28953,21797,163965,0,4.49,1.52,5.50,98985,53933,185762,49025,3973,142168
139916,30010,24886,15329,24886,10575,5070,646883,1,1.21,1.96,4.66,40215,35461,651953,-9557,-14311,641813
17580,22614,24855,16284,24855,10928,4386,41645,1,0.91,1.39,0.78,41139,35783,46031,-8571,-13927,37259
1032345,126063,24837,13738,24837,6314,2269,180171,1,5.08,9.18,8.19,38575,31151,182440,-11099,-18523,177902
971263,624934,686916,61439,24773,322755,4104,2055978,0,0.91,10.17,1.55,748355,347528,2060082,-625477,297982,2051874
330752,264146,24711,24044,24711,10790,2166,597072,1,10.69,10.99,1.25,48755,35501,599238,-667,-13921,594906
158138,52967,24682,30041,24682,16726,12018,98399,0,2.15,1.76,2.99,54723,41408,110417,5359,-7956,86381
343896,169271,24633,57394,24633,29590,23431,35507,1,6.87,2.95,2.03,82027,54223,58938,32761,4957,12076
1227894,82622,109825,29088,24609,6678,919,363706,0,0.75,2.84,14.86,138913,31287,364625,-80737,-17931,362787
253953,132014,32067,86171,24542,21446,4103,404304,0,4.12,1.53,1.92,118238,45988,408407,54104,-3096,400201
157001,13143,24497,27184,24497,9525,3454,2880,0,0.54,0.48,11.95,51681,34022,6334,2687,-14972,-574
317913,14253,46732,28087,24477,11270,5133,41005,0,0.30,0.51,22.30,74819,35747,46138,-18645,-13207,35872
285290,47248,24459,5238,24459,4515,1650,3152,1,1.93,9.02,6.04,29697,28974,4802,-19221,-19944,1502
291383,102293,24432,2334,24432,6863,3765,3551,1,4.19,43.83,2.85,26766,31295,7316,-22098,-17569,-214
690212,32547,24397,14378,24397,41132,12853,11194,0,1.33,2.26,21.21,38775,65529,24047,-10019,16735,-1659
948514,61239,66448,27994,24373,40820,12800,235190,0,0.92,2.19,15.49,94442,65193,247990,-38454,16447,222390
429400,119275,24368,11868,24368,17060,2207,157543,0,4.89,10.05,3.60,36236,41428,159750,-12500,-7308,155336
320116,303670,24368,15348,24368,13402,19115,6266,0,12.46,19.79,1.05,39716,37770,25381,-9020,-10966,-12849
1433521,233922,1110,49929,24330,47400,4034,483555,0,210.74,4.69,6.13,51039,71730,487589,48819,23070,479521
414047,62003,24298,13569,24298,37451,15424,34825,0,2.55,4.57,6.68,37867,61749,50249,-10729,13153,19401
55062,46697,24284,9836,24284,4382,4939,1626,1,1.92,4.75,1.18,34120,28666,6565,-14448,-19902,-3313
17779,20108,24283,18045,24283,14948,3727,2490,0,0.83,1.11,0.88,42328,39231,6217,-6238,-9335,-1237
988969,96379,24270,13646,24270,15311,12911,15791,0,3.97,7.06,10.26,37916,39581,28702,-10624,-8959,2880
1154050,131753,24267,9473,24267,4178,1457,1709,1,5.43,13.91,8.76,33740,28445,3166,-14794,-20089,252
102303,63527,24254,4320,24254,7322,3377,17706,0,2.62,14.71,1.61,28574,31576,21083,-19934,-16932,14329
46543,24330,24184,10164,24184,7292,4165,129822,1,1.01,2.39,1.91,34348,31476,133987,-14020,-16892,125657
955175,411115,24183,88517,24183,23089,4754,291476,0,17.00,4.64,2.32,112700,47272,296230,64334,-1094,286722
1144699,205030,24174,34817,24174,27376,11227,104668,0,8.48,5.89,5.58,58991,51550,115895,10643,3202,93441
253587,66574,24104,47915,24104,6643,3132,2313,0,2.76,1.39,3.81,72019,30747,5445,23811,-17461,-819
950400,151802,24091,14045,24091,20688,28733,19625,0,6.30,10.81,6.26,38136,44779,48358,-10046,-3403,-9108
982064,114582,24053,38168,24053,13717,11578,164480,0,4.76,3.00,8.57,62221,37770,176058,14115,-10336,152902
481922,77837,24034,27190,24034,2876,4283,5088,0,3.24,2.86,6.19,51224,26910,9371,3156,-21158,805
200766,86462,23984,23554,23984,7120,9222,2539,1,3.60,3.67,2.32,47538,31104,11761,-430,-16864,-6683
1344508,114847,23960,58150,23960,12927,7201,676947,1,4.79,1.98,11.71,82110,36887,684148,34190,-11033,669746
393425,168593,36528,36020,23953,18296,26085,81906,0,4.62,4.68,2.33,72548,42249,107991,-508,-5657,55821
1699037,43955,58886,23496,23932,23367,22761,476598,0,0.75,1.87,38.65,82382,47299,499359,-35390,-565,453837
575817,328476,23912,24333,23912,17884,3378,7893,0,13.74,13.50,1.75,48245,41796,11271,421,-6028,4515
1246994,99810,23895,19129,23895,5719,38960,7518,1,4.18,5.22,12.49,43024,29614,46478,-4766,-18176,-31442
92627,26480,23890,2216,23890,1113,454,623,0,1.11,11.95,3.50,26106,25003,1077,-21674,-22777,169
1047819,255220,23858,42657,23858,22051,13921,95765,0,10.70,5.98,4.11,66515,45909,109686,18799,-1807,81844
532808,55299,22938,2624,23856,21319,6912,402362,0,2.41,21.07,9.64,25562,45175,409274,-20314,-2537,395450
1330903,370088,23815,89086,23815,16153,57873,6705,1,15.54,4.15,3.60,112901,39968,64578,65271,-7662,-51168
1623822,595053,30493,84445,23786,71446,25749,643393,0,19.51,7.05,2.73,114938,95232,669142,53952,47660,617644
220405,14885,23776,6442,23776,7642,3302,2188,0,0.63,2.31,14.81,30218,31418,5490,-17334,-16134,-1114
1161515,55516,24488,20614,23765,17116,13824,149512,0,2.27,2.69,20.92,45102,40881,163336,-3874,-6649,135688
203782,143550,23673,9131,23673,3032,5121,154083,1,6.06,15.72,1.42,32804,26705,159204,-14542,-20641,148962
866827,115878,23661,6925,23661,19916,4801,726347,1,4.90,16.73,7.48,30586,43577,731148,-16736,-3745,721546
796261,278158,23596,16116,23596,42228,55075,41965,1,11.79,17.26,2.86,39712,65824,97040,-7480,18632,-13110
35537,35314,23517,21095,23517,11809,6564,112220,0,1.50,1.67,1.01,44612,35326,118784,-2422,-11708,105656
285200,71778,23510,25495,23510,2475,1448,28683,0,3.05,2.82,3.97,49005,25985,30131,1985,-21035,27235
1195530,145151,23510,8930,23510,21191,3748,2753,0,6.17,16.25,8.24,32440,44701,6501,-14580,-2319,-995
1130914,185206,23500,42365,23500,9231,20834,8391,0,7.88,4.37,6.11,65865,32731,29225,18865,-14269,-12443
40583,40281,23498,15303,23498,9049,11783,112625,0,1.71,2.63,1.01,38801,32547,124408,-8195,-14449,100842
735414,160617,97662,28097,23493,38509,4917,211912,0,1.64,5.72,4.58,125759,62002,216829,-69565,15016,206995
2067411,571708,213495,99228,23488,80332,3503,882162,0,2.68,5.76,3.62,312723,103820,885665,-114267,56844,878659
782783,100826,10816,16173,23474,7840,7963,83198,0,9.32,6.23,7.76,26989,31314,91161,5357,-15634,75235
1114975,88104,23441,15097,23441,3982,1901,196871,1,3.76,5.84,12.66,38538,27423,198772,-8344,-19459,194970
145610,73656,23422,20893,23422,2915,3402,1627,1,3.14,3.53,1.98,44315,26337,5029,-2529,-20507,-1775
564994,56117,9192,4592,23371,11824,14593,186207,0,6.10,12.22,10.07,13784,35195,200800,-4600,-11547,171614
