"delta","theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma","classification","Theta_LowAlpha_Ratio","Theta_HighAlpha_Ratio","Delta_Theta_Ratio","Total_Alpha","Total_Beta","Total_Gamma","High_Low_Alpha_Diff","High_Low_Beta_Diff","High_Low_Gamma_Diff"
3.8704148722528,6.29494142334162,10.8163476604244,4.87728123097192,15.3370199125413,1.13048175911991,2.18585831455406,3.09546109408637,0,-0.300356459894966,-0.168496228791116,-0.42359571678492,9.87596540378568,9.84216721549049,3.19078877881858,-4.78134670401523,-10.092929395053,2.99303746683404
1.73206720058282,2.79784316103926,7.94572368693738,3.32737388306861,11.3221422021261,1.39905416896733,12.5828817076718,-0.403590702157426,1,-0.341039014513118,-0.268095313176243,-0.408915625072583,7.09262553962842,7.65958150398331,0.188374432778625,-3.72326382159578,-6.96983731021934,-0.996166171158355
2.91746460878437,2.20070248819067,7.17217587186974,6.08158573897817,10.2402520244714,1.13514921792109,1.8763801472314,-0.568618883944847,0,-0.348607861883937,-0.383064626633148,-0.291474891373885,8.35738541785966,6.83681279119524,-0.47913839550804,-0.820237331976144,-6.41478691646107,-0.657067708605093
1.46130957591398,1.39437779480451,6.11044772681186,8.87522293121256,8.75531052621753,1.45736325184451,15.7143188923901,0.051121673463932,1,-0.360907238861517,-0.436553023802939,-0.329643129825962,9.46660497072568,6.18506966027878,0.789089683484994,2.34996930299761,-5.06977280127269,-0.688834395547507
-0.255609478320583,1.80494533304822,5.84152816401933,1.91149749317667,8.37919746908353,3.36539764167527,3.32076191024997,-0.342345474632966,0,-0.34576954411988,-0.242888137498526,-0.511676267058944,4.87469284425802,7.29432131412877,-0.185560076757893,-3.17859483289041,-3.17287047519915,-0.498771201279272
1.76666967688997,2.35836273958422,5.74049091271541,0.489869597792962,8.23788595913716,2.84712757001056,0.915606336355043,1.53174392924914,0,-0.327320478653509,0.216989116329096,-0.38395946916161,3.90835335771584,6.8492989613003,1.57111696733897,-4.26967181558638,-3.51260143516192,1.48887937983223
0.842989967244825,1.89064514140944,5.67747491613946,3.67595687597627,8.14975128096645,0.401424694375557,4.72249701490725,2.89747641042797,0,-0.341039014513118,-0.340642794395039,-0.425063725956154,5.89268618768892,5.09086177626275,3.11241751333085,-1.58872100090486,-5.5329646925513,2.67557384110978
2.98202288598825,2.77595394802617,5.66577606853085,2.05705044403792,8.13338917888163,4.6448960916749,0.0973316316647173,4.18695034876287,0,-0.313128889833223,-0.162962946325276,-0.333313152754046,4.85701671115838,8.04195060631005,4.18159328931972,-2.91536269953519,-1.90545593971903,4.18305056404694
4.64472572529769,4.36790924891337,5.61686411027251,0.224522088652458,8.06498052180989,0.755718969522704,-0.286810398257217,1.90106542012213,1,-0.262039170080196,1.08448484514029,-0.339185189438981,3.66233438106843,5.28801935536442,1.88308610310909,-4.38801817526769,-5.16997325857098,1.91488120826844
2.08088296998272,2.42611265781186,5.30826852154422,1.63935447589737,7.63337625661849,0.932217216482455,0.465883795539174,3.34883429579815,0,-0.318332472400661,-0.141444625624786,-0.367077363692422,4.36766755573615,5.15639034074542,3.36277529402351,-2.96902119594881,-4.70844975825609,3.32744312336172
0.567385595027326,0.23406104275573,4.84891557917544,-0.134614821923287,6.99092154762021,0.430522315584866,2.49842868671257,-0.499633458300126,1,-0.388817363541412,-0.000653327327291956,-0.225414478668368,2.95298609567617,4.42710904661929,-0.381099425079557,-4.0591581757879,-4.67279275138014,-0.617362383415133
1.16112300697909,0.823382826201707,4.53564429970885,0.248610076999214,6.55277782386531,0.287311018709629,-0.141927717510206,-0.620222226741913,0,-0.364691662546927,-0.0467640145426284,-0.279730818004015,3.00010637408913,4.06855262748274,-0.625417707455034,-3.48779310594711,-4.47896840116383,-0.61364029356808
